artwork_id,image_id,date,series,title_fr,title_en,title_lang,medium,support,width_cm,height_cm,width_in,height_in,tags,show,favorite,guardian,guardian_kind,display_location,display_url,display_until,available_from,availability_details,notes,extra_credits,license_name,license_url,original_url
mj-20230924,img-20230924,2023-09-24,ser-20230318,Flumodingo,,fr,"acrylic paint, acrylic marker, and brass leaf on canvas",canvas,,,36,24,featured,1,0,Martin Jambon,artist,,,,2023-09-24,,,,,,
mj-20230909,img-20230909,2023-09-09,ser-20230318,Gloobernacle,,fr,"acrylic paint, acrylic marker, and brass leaf on canvas",canvas,,,24,18,,1,0,Martin Jambon,artist,,,,2023-09-09,,,,,,
mj-20230902,img-20230902,2023-09-02,ser-20230318,Hyfleem,,fr,"acrylic paint, acrylic marker, and metal leaf on canvas",canvas,,,30,24,featured,1,0,Martin Jambon,artist,,,,2023-09-02,,,,,,
mj-20230814,img-20230814,2023-08-14,ser-20230318,Bomnizar,,fr,"acrylic paint, acrylic marker, and brass leaf on canvas",canvas,,,24,18,for-rent,1,0,Martin Jambon,artist,,,,2023-10-01,on hold for Hang Art until October 1,,,,,
mj-20230813,img-20230813,2023-08-13,,Bomnizar (unfinished),,fr,"acrylic paint, acrylic marker, and brass leaf on canvas",canvas,,,24,18,,0,0,Martin Jambon,artist,,,,,,modified later,,,,
mj-20230808,img-20230808,2023-08-08,ser-20230318,Ownolob,,fr,acrylic marker and paint on canvas,canvas,,,24,18,"for-rent,featured",1,0,Martin Jambon,artist,,,,2023-10-01,on hold for Hang Art until October 1,,,,,
mj-20230807,img-20230807,2023-08-07,ser-20230318,Sylkotronic,,fr,"acrylic paint, acrylic marker, and brass leaf on canvas",canvas,,,24,18,for-rent,1,0,Martin Jambon,artist,,,,2023-10-01,on hold for Hang Art until October 1,,,,,
mj-20230804,img-20230804,2023-08-04,ser-20230318,Kloginastik,,fr,"acrylic paint, acrylic marker, and brass leaf on canvas",canvas,,,24,18,"for-rent,featured",1,0,Martin Jambon,artist,,,,2023-10-01,on hold for Hang Art until October 1,,,,,
mj-20230717,img-20230717,2023-07-17,ser-20230318,Bolbablob,,fr,acrylic marker and paint on canvas,canvas,,,24,18,for-rent,1,0,Martin Jambon,artist,,,,2023-10-01,on hold for Hang Art until October 1,,,,,
mj-20230714,img-20230714,2023-07-14,ser-20230318,Alginomia,,fr,"acrylic paint, acrylic marker, and brass leaf on canvas",canvas,,,36,24,for-rent,1,0,Martin Jambon,artist,,,,2023-10-01,on hold for Hang Art until October 1,,,,,
mj-20230704,img-20230704,2023-07-04,ser-20230318,Frintistle,,fr,"acrylic paint, acrylic marker, and aluminum leaf on canvas",canvas,,,30,24,for-rent,1,0,Martin Jambon,artist,,,,2023-10-01,on hold for Hang Art until October 1,,,,,
mj-20230618,img-20230618,2023-06-18,ser-20230318,Jhinghothorp,,fr,"acrylic paint, acrylic marker, and brass leaf on canvas",canvas,,,36,24,"for-rent,featured",1,1,Martin Jambon,artist,,,,2023-10-01,on hold for Hang Art until October 1,,,,,
